Company,Price,Change,% Change,P/E,Volume,YTDchange,Symbol,url
Michael Kors,44.69,-0.47,-1.04%,13.6,2.7M,+3.98%,KORS,http://money.cnn.com/quote/quote.html?symb=KORS
Microchip Technology Inc,82.21,0.97,+1.19%,42.4,1.4M,+28.15%,MCHP,http://money.cnn.com/quote/quote.html?symb=MCHP
Micron Technology Inc,28.01,0.52,+1.89%,12.7,23.4M,+27.78%,MU,http://money.cnn.com/quote/quote.html?symb=MU
Microsoft,72.5,1.09,+1.53%,26.8,21.4M,+16.67%,MSFT,http://money.cnn.com/quote/quote.html?symb=MSFT
Mid-America Apartment Communities Inc,104.02,-0.46,-0.44%,45.2,392.7K,+6.23%,MAA,http://money.cnn.com/quote/quote.html?symb=MAA
Mohawk Industries Inc,245.43,-0.98,-0.40%,19.0,313.0K,+22.91%,MHK,http://money.cnn.com/quote/quote.html?symb=MHK
Molson Coors Brewing Co,90.4,0.2,+0.22%,9.0,688.6K,-7.10%,TAP,http://money.cnn.com/quote/quote.html?symb=TAP
Mondelez International Inc,43.59,0.32,+0.74%,38.2,4.9M,-1.67%,MDLZ,http://money.cnn.com/quote/quote.html?symb=MDLZ
Monsanto,116.55,-0.39,-0.33%,25.3,1.0M,+10.78%,MON,http://money.cnn.com/quote/quote.html?symb=MON
Monster Beverage Corp,53.82,1.3,+2.48%,43.4,2.7M,+21.38%,MNST,http://money.cnn.com/quote/quote.html?symb=MNST
Moody's Corp,127.76,0.85,+0.67%,50.9,1.2M,+35.53%,MCO,http://money.cnn.com/quote/quote.html?symb=MCO
Morgan Stanley,45.65,-0.65,-1.40%,13.0,13.5M,+8.05%,MS,http://money.cnn.com/quote/quote.html?symb=MS
Mosaic Co,20.34,-0.27,-1.31%,48.4,5.5M,-30.65%,MOS,http://money.cnn.com/quote/quote.html?symb=MOS
Motorola,87.48,0.49,+0.56%,23.3,806.0K,+5.54%,MSI,http://money.cnn.com/quote/quote.html?symb=MSI
Mylan NV,30.88,-1.41,-4.37%,13.3,11.1M,-19.06%,MYL,http://money.cnn.com/quote/quote.html?symb=MYL
Nasdaq Inc,75.5,-0.42,-0.55%,57.6,673.6K,+12.49%,NDAQ,http://money.cnn.com/quote/quote.html?symb=NDAQ
National Oilwell Varco Inc,30.29,-0.06,-0.20%,NM,3.4M,-19.10%,NOV,http://money.cnn.com/quote/quote.html?symb=NOV
Navient Corp,13.68,-0.02,-0.15%,7.2,1.5M,-16.74%,NAVI,http://money.cnn.com/quote/quote.html?symb=NAVI
NetApp Inc,41.49,0.21,+0.51%,22.9,1.5M,+17.64%,NTAP,http://money.cnn.com/quote/quote.html?symb=NTAP
Netflix,171.4,2.26,+1.34%,209.0,5.0M,+38.45%,NFLX,http://money.cnn.com/quote/quote.html?symb=NFLX
Newell Brands Inc,50.0,-0.2,-0.40%,20.7,2.3M,+11.98%,NWL,http://money.cnn.com/quote/quote.html?symb=NWL
Newfield Exploration Co,25.92,-0.34,-1.29%,15.0,2.9M,-36.00%,NFX,http://money.cnn.com/quote/quote.html?symb=NFX
Newmont Mining Corp,36.53,0.09,+0.25%,102.0,4.4M,+7.22%,NEM,http://money.cnn.com/quote/quote.html?symb=NEM
News Corp,13.43,-0.25,-1.83%,NM,3.5M,+17.19%,NWSA,http://money.cnn.com/quote/quote.html?symb=NWSA
News Corp,13.8,-0.2,-1.43%,NM,312.7K,+16.95%,NWS,http://money.cnn.com/quote/quote.html?symb=NWS
NextEra Energy,147.18,-0.54,-0.37%,16.9,1.3M,+23.20%,NEE,http://money.cnn.com/quote/quote.html?symb=NEE
Nielsen Holdings PLC,40.79,-0.38,-0.92%,--,1.6M,-2.77%,NLSN,http://money.cnn.com/quote/quote.html?symb=NLSN
